# MLB Redraft Points Rankings
# Rotoballer - Nicklaus Gaut 
# 3/10/2025
Rank,Player
595,Ryan Fernandez
596,Michel Otanez
597,Antonio Senzatela
598,Nick Sandlin
599,Kyle Hart
600,Ben Rortvedt
601,Kenta Maeda
602,David Robertson
603,Matt Waldron
604,Tyson Miller
605,Brock Burke
606,Hector Neris
607,James McCann
608,Gregory Santos
609,Bryse Wilson
610,J.T. Ginn
611,Ryan Thompson
612,Tanner Banks
613,Yasmani Grandal
614,Jose Suarez
615,Jorge Alcala
616,Nate Pearson
617,Seth Brown
618,Scott Barlow
619,Donovan Solano
620,Colson Montgomery
621,Adrian Del Castillo
622,Starling Marte
623,Nick Mears
624,Richie Palacios
625,Alek Thomas
626,J.D. Martinez
627,Jose Tena
628,Jack Kochanowicz
629,Andrew Painter
630,Hans Crouse
631,Craig Kimbrel
632,Jakob Junis
633,Mickey Moniak
634,John Schreiber
635,Dedniel Nunez
636,Jake Cousins
637,Kyle Wright
638,Edgar Quero
639,Chase Meidroth
640,Ben Brown
641,Shawn Armstrong
642,Phil Maton
643,Shane Smith
644,Ryan Brasier
645,Giancarlo Stanton
646,Clayton Kershaw
647,Carlos Narvaez
648,Brant Hurter
649,Sam Moll
650,Caleb Thielbar
651,Jason Heyward
652,Joe Mantiply
653,Declan Cronin
654,Luis Peralta
655,Caleb Ferguson
656,Hoby Milner
657,Collin Snider
658,Johan Rojas
659,Luke Jackson
660,Matt Brash
661,Carmen Mlodzinski
662,Danny Coulombe
663,Gus Varland
664,Sean Hjelle
665,Drew Romo
666,Jordan Lawlar
667,Elvis Peguero
668,Edouard Julien
669,Landon Knack
670,Tommy Kahnle
671,Anthony Banda
672,Greg Weissert
673,Mike Clevinger
674,Tayler Saucedo
675,Abner Uribe
676,Daniel Lynch IV
677,Cionel Perez
678,Daysbel Hernandez
679,Mason Montgomery
680,Kyle Stowers
681,Jose Quijada
682,Louie Varland
683,Brandon Drury
684,Victor Scott II
685,Will Brennan
686,Colin Poche
687,Kaleb Ort
688,Patrick Corbin
689,Lance McCullers Jr.
690,Tyrone Taylor
691,Ryan Zeferjahn
692,Angel Perdomo
693,Lucas Sims
694,Jose Ruiz
695,Bryan King
696,Caden Dana
697,Alex Faedo
698,Danny Young
699,Christian Moore
700,Angel Zerpa
701,Aaron Ashby
702,Yilber Diaz
703,Shinnosuke Ogasawara
704,Erik Swanson
705,Shelby Miller
706,Hunter Bigge
707,Johan Oviedo
708,Andrew Nardi
709,Emerson Hancock
710,Randal Grichuk
711,Troy Taylor
712,Joe Ross
713,Brent Suter
714,Jordan Leasure
715,Tirso Ornelas
716,Jerar Encarnacion
717,Tom Murphy
718,Joe Boyle
719,DJ LeMahieu
720,Marc Church
721,Eric Haase
722,Dalton Rushing
723,Jake Bird
724,Caleb Durbin
725,Grant Holman
726,Kevin Kelly
727,Andrew Chafin
728,Michael Tonkin
729,Griffin Conine
730,Taijuan Walker
731,Bryan Hoeing
732,Stephen Kolek
733,Rafael Marchan
734,Chris Stratton
735,Andrew Walters
736,Joey Wentz
737,Julian Merryweather
738,Gabe Speier
739,Jarred Kelenic
740,Eli Morgan
741,Wandy Peralta
742,John Brebbia
743,Ramon Laureano
744,Kyle Farmer
745,Austin Barnes
746,Justin Lawrence
747,Lake Bachar
748,Gunnar Hoglund
749,Randy Rodriguez
750,Scott Alexander
751,Juan Brito
752,John King
753,Sam Long
754,Randy Vasquez
755,Angel Chivilli
756,Cam Booser
757,Brady Basso
758,Bryan Baker
759,Matt Thaiss
760,Derek Hill
761,Brendon Little
762,Henry Davis
763,Anthony Rizzo
764,Taylor Walls
765,Tyler Heineman
766,Kendall Graveman
767,Austin Hedges
768,Chase Silseth
769,Justin Wilson
770,Liam Hicks
771,Michael Fulmer
772,Ryan Burr
773,Bobby Miller
774,Matt Mervis
775,Alex Jackson
776,Andrew Kittredge
777,Tim Hill
778,Luisangel Acuna
779,Brennan Bernardino
780,Erik Sabrowski
781,Jordan Wicks
782,Graham Ashcraft
783,Chris Taylor
784,Anthony Veneziano
785,Riley Adams
786,Gabriel Arias
787,Forrest Whitley
788,Brendan Rodgers
789,David Hamilton
790,Jose Iglesias
791,Kike Hernandez
792,Amed Rosario
793,Bryce Elder
794,Josh Winckowski
795,Hogan Harris
796,Steven Okert
797,Austin Voth
798,Miguel Rojas
799,Adam Frazier
