# NBA Redraft Categories Rankings
# FantasyPros - ECR 
# 10/17/2024
Rank,Player
252,Matas Buzelis
253,Cam Whitmore
254,Mo Bamba
255,Jaden Hardy
256,Saddiq Bey
257,Aaron Wiggins
258,Lonzo Ball
259,Dalton Knecht
260,Jabari Walker
261,Davion Mitchell
262,Santi Aldama
263,Simone Fontecchio
264,Precious Achiuwa
265,GG Jackson II
266,Christian Wood
267,Marcus Sasser
268,Tidjane Salaun
269,Dario Saric
270,Day'Ron Sharpe
271,Quentin Grimes
272,Scotty Pippen Jr.
273,Gabe Vincent
274,Luke Kornet
275,Jae'Sean Tate
276,Anthony Black
277,Julian Champagnie
278,Marcus Morris Sr.
279,Maxi Kleber
280,Nassir Little
281,Monte Morris
282,AJ Griffin
283,Cam Reddish
284,Duop Reath
285,Steven Adams
286,Alec Burks
287,Jose Alvarado
288,Trey Lyles
289,Amir Coffey
290,Neemias Queta
291,Vasilije Micic
292,Sam Merrill
293,Toumani Camara
294,Drew Eubanks
295,Cameron Payne
296,Ben Sheppard
297,Xavier Tillman Sr.
298,Jaylin Williams
299,Ziaire Williams
300,Dean Wade
301,Malaki Branham
302,Matas Buzelis-DUP
303,Goga Bitadze
304,Jaxson Hayes
305,Cody Martin
306,John Konchar
307,Jake LaRavia
308,Max Christie
309,Ochai Agbaji
310,Damion Lee
311,Yves Missi
312,Cody Williams
313,Shake Milton
314,Jordan Hawkins
315,Kobe Bufkin
316,Haywood Highsmith
317,Joe Ingles
318,Kevin Love
319,Kenrich Williams
320,Dante Exum
321,Guerschon Yabusele
322,Gary Harris
323,Gary Payton II
324,Torrey Craig
325,Kevon Looney
326,Chris Boucher
327,Isaiah Collier
328,Josh Okogie
329,Seth Curry
330,Jordan McLaughlin
331,AJ Green
332,Jonathan Mogbo
333,Tristan da Silva
334,Johnny Furphy
335,Andre Jackson Jr.
336,Craig Porter Jr.
337,Josh Minott
